repo,subrepo,lang,includes,contains,requires,declares,encloses,specializes,encapsulates,returns,instantiates,invokes,uses,parameterizes,typed,measures,overrides
PojavLauncherTeam__PojavLauncher,forge_installer,java,1,9,0,12,8,2,31,5,4,16,15,27,1,52,0
PojavLauncherTeam__PojavLauncher,jre_lwjgl3glfw,java,1,36,2,48,42,1,3629,31,8,161,2887,1064,2,1070,0
PowerJob__PowerJob,,java,18,671,1543,1000,745,170,3683,866,382,1345,2012,1870,838,4035,0
Qihoo360__RePlugin,replugin-host-library,java,1,247,500,442,329,30,2748,369,158,2498,3144,2518,241,3840,0
Qihoo360__RePlugin,replugin-plugin-library,java,1,45,69,71,62,0,579,52,23,277,644,493,106,807,0
Qihoo360__RePlugin,replugin-sample-extra,java,1,13,1,10,12,0,50,5,1,33,38,9,0,97,0
Qihoo360__RePlugin,replugin-sample,java,1,10,0,14,17,1,62,10,3,19,28,63,1,87,0
ReactiveX__RxAndroid,,java,1,10,2,11,15,0,46,7,4,8,29,26,0,67,0
ReactiveX__RxJava,,java,2,956,2618,2713,2764,2039,16342,3665,2475,7517,11986,11195,1682,17275,50
SeleniumHQ__selenium,,java,1,1062,3192,1876,1363,549,8427,2769,1780,6345,6401,5473,2528,11473,65
SonarSource__sonarqube,plugins,java,1,17,7,22,14,6,49,11,0,30,46,35,0,79,0
SonarSource__sonarqube,server,java,1,16,0,22,14,0,81,19,0,38,55,27,13,117,0
SonarSource__sonarqube,sonar-core,java,1,192,19,326,241,40,1669,496,79,515,1041,1024,163,2292,9
SonarSource__sonarqube,sonar-duplications,java,1,76,69,109,85,13,430,129,50,269,405,248,107,593,0
SonarSource__sonarqube,sonar-markdown,java,1,17,0,32,27,2,58,19,13,25,23,38,20,90,0
SonarSource__sonarqube,sonar-plugin-api-impl,java,1,150,58,194,153,49,1256,276,94,449,895,757,57,1868,22
SonarSource__sonarqube,sonar-scanner-engine,java,1,387,436,634,436,74,2630,458,154,1160,2073,1847,603,3484,0
SonarSource__sonarqube,sonar-scanner-protocol,java,1,22,2,19,18,0,198,16,4,132,189,102,9,269,0
SonarSource__sonarqube,sonar-testing-ldap,java,1,5,0,2,3,0,21,8,1,4,25,14,0,28,0
SonarSource__sonarqube,sonar-ws-generator,java,1,8,0,8,6,0,45,4,1,44,10,44,0,89,0
SonarSource__sonarqube,sonar-ws,java,1,536,384,806,489,78,4430,1553,423,1977,2506,1579,444,6465,3
SonarSource__sonarqube,ut-monitoring,java,1,13,0,16,11,0,97,15,1,23,52,38,4,143,0
Team-xManager__xManager,,java,1,11,1,23,24,0,763,15,19,220,1683,252,6,452,0
TeamNewPipe__NewPipe,,java,1,531,849,797,693,117,5622,698,366,3396,5784,3781,644,7316,1
TechEmpower__FrameworkBenchmarks,frameworks,java,1,11,7,13,12,0,32,9,1,7,20,13,1,48,0
Tencent__APIJSON,,java,1,70,127,127,75,18,1909,400,52,1856,988,1687,185,2445,70
Tencent__QMUI_Android,,java,6,486,1303,954,841,285,7403,1102,552,5235,7060,6287,891,9430,43
Tencent__Shadow,projects,java,1,9,0,6,8,0,18,2,1,5,17,6,2,22,0
Tencent__tinker,third-party,java,1,53,66,105,94,24,1022,122,61,657,2238,702,125,1033,0
Tencent__tinker,tinker-android,java,1,7,0,6,6,0,12,1,0,7,1,3,0,18,0
Tencent__tinker,tinker-commons,java,1,35,66,53,40,16,390,32,22,148,214,489,86,560,0
Tencent__tinker,tinker-sample-android,java,1,23,17,31,28,0,226,15,7,68,173,115,4,203,0
TheWidlarzGroup__react-native-video,,java,4,85,23,86,87,4,608,57,21,283,508,384,71,750,0
TooTallNate__Java-WebSocket,,java,2,112,248,160,90,53,1013,181,106,734,804,723,232,1452,0
Yalantis__uCrop,,java,2,48,59,88,80,8,808,76,35,433,950,514,55,849,0
YoKeyword__Fragmentation,,java,5,193,251,276,241,70,1625,310,140,1055,1463,1248,254,2300,0
aa112901__remusic,,java,1,305,701,754,733,109,6362,606,396,2496,6942,3455,382,7210,0
abel533__Mapper,base,java,1,73,51,112,72,40,145,10,1,14,7,173,1,249,0
abel533__Mapper,core,java,1,60,96,103,81,9,669,186,96,546,491,607,75,961,36
abel533__Mapper,extra,java,1,44,0,56,43,3,93,23,1,21,16,126,7,179,0
abel533__Mapper,generator,java,1,21,13,28,20,3,245,15,4,48,203,196,10,326,0
abel533__Mapper,solon-plugin,java,1,6,0,6,5,0,13,4,3,1,8,9,0,25,0
abel533__Mapper,spring-boot-starter,java,1,10,0,15,15,0,71,9,1,21,48,33,2,100,0
abel533__Mapper,spring,java,1,12,4,17,17,2,116,9,3,24,76,60,1,158,0
abel533__Mapper,weekend,java,1,13,6,16,12,0,221,206,7,191,4,401,1,434,0
airbnb__epoxy,,java,3,138,15,217,166,29,1021,192,62,625,740,860,142,1496,0
airbnb__lottie-android,,java,1,219,681,422,280,120,2435,530,199,2180,2429,1745,695,3129,0
alibaba__ARouter,,java,6,131,162,161,109,24,621,132,37,371,466,396,74,832,0
alibaba__COLA,,java,28,400,377,499,315,116,1383,455,144,525,674,712,283,2000,10
alibaba__DataX,,java,72,1378,1982,1740,1402,397,9856,1383,649,7642,9681,5115,1737,10862,0
alibaba__Sentinel,sentinel-adapter,java,1,20,9,23,21,4,60,15,1,29,20,58,9,107,0
