repo,subrepo,lang,includes,contains,declares,encloses,specializes,encapsulates,returns,instantiates,invokes,uses,parameterizes,typed,measures,overrides
cefsharp__CefSharp,,csharp,88,586,1295,1427,950,4411,219,463,2069,317,6709,2137,8971,362
chocolatey__choco,,csharp,80,373,945,1574,671,6563,137,548,4418,599,3654,1559,12371,915
cobbr__Covenant,,csharp,19,152,295,332,99,2508,187,267,1297,131,3930,1221,5078,25
codebude__QRCoder,,csharp,21,87,101,167,32,824,19,386,503,187,798,69,1289,22
coding-horror__basic-computer-games,,csharp,139,468,492,600,76,2355,147,253,1620,101,1782,869,4231,64
commandlineparser__commandline,,csharp,16,189,300,339,41,1113,52,398,921,116,1407,133,2173,4
d2phap__ImageGlass,,csharp,97,380,469,596,54,5277,39,387,4000,563,5626,695,8140,181
danielgerlag__workflow-core,,csharp,152,578,668,873,320,2172,230,485,1335,183,2405,723,4427,136
davidfowl__AspNetCoreDiagnosticScenarios,,csharp,5,21,31,38,3,118,0,28,43,2,52,13,254,0
dbrizov__NaughtyAttributes,,csharp,13,111,170,174,64,576,2,7,254,11,360,58,633,35
devlooped__moq,,csharp,18,241,946,1649,172,3773,261,1420,4150,542,2498,360,8525,82
discord-net__Discord.Net,,csharp,213,1586,1389,1428,664,7091,932,1551,5609,696,15054,6628,13282,813
dlemstra__Magick.NET,,csharp,250,1634,1988,3277,501,7836,299,5118,8152,24,6671,1092,18417,164
dockersamples__example-voting-app,,csharp,1,1,1,1,0,5,0,0,4,0,7,0,13,0
dodyg__practical-aspnetcore,,csharp,627,692,330,204,30,700,6,36,82,25,590,46,1561,1
domaindrivendev__Swashbuckle.AspNetCore,,csharp,76,298,380,439,64,1237,37,389,1023,5,1569,300,2804,0
dorssel__usbipd-win,,csharp,6,93,117,160,14,823,13,194,681,135,564,134,1331,24
dotnet-presentations__blazor-workshop,,csharp,65,457,46,51,0,124,4,10,83,4,144,22,308,0
dotnet-state-machine__stateless,,csharp,10,81,97,143,34,760,98,392,1447,28,745,149,1480,38
dotnet__AspNetCore.Docs,,csharp,2110,5428,2585,3211,111,6744,42,500,936,105,5633,919,15255,1
dotnet__BenchmarkDotNet,,csharp,132,953,1686,2284,562,7118,588,1088,4136,1479,7667,2086,13107,186
